added,collx_id,category,number,name,team,year,brand,set,flags,condition,market_value,notes,front_image,back_image
1/27/2024,323706716,Baseball,86B-99,Aaron Judge,New York Yankees,2021,Topps,2021 Topps - 1986 Topps Baseball 35th Anniversary Green (Series One),,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-323706716-front.jpg,
1/27/2024,323723445,Baseball,86B-99,Aaron Judge,New York Yankees,2021,Topps,2021 Topps - 1986 Topps Baseball 35th Anniversary (Series 1),,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-323723445-front.jpg,
1/27/2024,323723429,Baseball,86B-99,Aaron Judge,New York Yankees,2021,Topps,2021 Topps - 1986 Topps Baseball 35th Anniversary (Series 1),,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-323723429-front.jpg,
1/27/2024,323730725,Baseball,T52-1,Aaron Judge,New York Yankees,2021,Topps,2021 Topps - 1952 Topps Redux,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-323730725-front.jpg,
1/27/2024,323726297,Baseball,99a,Aaron Judge,New York Yankees,2021,Topps,2021 Topps,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-323726297-front.jpg,
1/27/2024,323726282,Baseball,99a,Aaron Judge,New York Yankees,2021,Topps,2021 Topps,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-323726282-front.jpg,
1/27/2024,323726267,Baseball,99a,Aaron Judge,New York Yankees,2021,Topps,2021 Topps,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-323726267-front.jpg,
1/27/2024,323726255,Baseball,99a,Aaron Judge,New York Yankees,2021,Topps,2021 Topps,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-323726255-front.jpg,
1/27/2024,323726232,Baseball,99a,Aaron Judge,New York Yankees,2021,Topps,2021 Topps,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-323726232-front.jpg,
1/27/2024,323726219,Baseball,99a,Aaron Judge,New York Yankees,2021,Topps,2021 Topps,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-323726219-front.jpg,
8/12/2022,22143311,Baseball,64,Aaron Judge,New York Yankees,2020,Prizm,2020 Panini Prizm,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-22143311-1660309075-front.jpg,
1/27/2024,323726245,Baseball,99,Aaron Judge,New York Yankees,2021,Topps,2021 Topps Opening Day,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-323726245-front.jpg,
3/31/2024,366090203,Baseball,85,Aaron Judge,New York Yankees,2021,Bowman,2021 Bowman Platinum,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-366090203-front.jpg,
1/25/2024,322360502,Multi-sport,NNO,Aaron Judge / Cody B,,2017,,2017 Beckett National Convention Cover Promos,SN1000,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-322360502-front.jpg,https://storage.googleapis.com/collx-user-cards/232360-322360502-back.jpg
8/12/2022,22124716,Football,134,Aaron Murray,Kansas City Chiefs,2014,Bowman,2014 Bowman Chrome,RC,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-22124716-1660295253-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22124716-1660295253-back.jpg
1/27/2024,323639140,Basketball,287,Aaron Nesmith,Boston Celtics,2020,Select,2020-21 Panini Select - Blue,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-323639140-front.jpg,
3/31/2024,366046936,Football,20,Aaron Rodgers,Green Bay Packers,2020,Panini,2020 Panini Certified - Mirror,SN450,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-366046936-front.jpg,
3/31/2024,366061248,Football,10,Aaron Rodgers,California Golden Bears,2020,Prizm,2020 Panini Prizm Draft Picks - Prizms Silver,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-366061248-front.jpg,
8/12/2022,22129553,Football,155b,Aaron Rodgers,Green Bay Packers,2021,Donruss,2021 Donruss,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-22129553-1660299689-front.jpg,
1/17/2024,316078443,Football,63,Aaron Rodgers,Green Bay Packers,2018,Panini,2018 Panini Contenders,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-316078443-front.jpg,
1/17/2024,316192452,Football,WT-ARO,Aaron Rodgers,Green Bay Packers,2021,Panini,2021 Panini Contenders - Winning Ticket,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-316192452-front.jpg,
1/25/2024,322489341,Football,STS-ARO,Aaron Rodgers,Green Bay Packers,2021,Panini,2021 Panini Chronicles - Stars and Stripes,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-322489341-front.jpg,
1/17/2024,316085879,Football,RZ-AR,Aaron Rodgers,Green Bay Packers,2020,Panini,2020 Panini Absolute - Red Zone,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-316085879-front.jpg,
8/6/2022,20463519,Football,WT-ARO,Aaron Rodgers,Green Bay Packers,2021,Panini,2021 Panini Contenders - Winning Ticket Ruby,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-20463519-1659803740-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20463519-1659803740-back.jpg
8/13/2022,22465394,Baseball,BFE-125,Aaron Sabato,Minnesota Twins,2021,Bowman,2021 Bowman 1st Edition,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-22465394-1660405844-front.jpg,
8/12/2022,22089497,Football,357,Aaron Stecker,Scottish Claymores,2000,Topps,2000 Topps,RC,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-22089497-1660278744-front.jpg,
4/4/2024,369142651,Football,CIH-18,Aaron Stinnie,Tampa Bay Buccaneers,2021,Donruss,2021 Donruss - The Champ Is Here,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-369142651-front.jpg,
3/30/2024,365834884,Basketball,11,Acie Law IV,Atlanta Hawks,2007,Topps,2007-08 Topps: Rookie Set,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-365834884-front.jpg,
3/30/2024,365760483,Basketball,11,Acie Law IV,Atlanta Hawks,2007,Topps,2007-08 Topps: Rookie Set,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-365760483-front.jpg,
4/4/2024,369093084,Baseball,99,Adalberto Mondesi,Kansas City Royals,2020,Panini,2020 Panini Prizm - Purple Prizm,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-369093084-front.jpg,
1/27/2024,323717852,Baseball,S-1,Adalberto Mondesi,Kansas City Royals,2020,Panini,2020 Panini Prizm - Scorching Silver Prizm,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-323717852-front.jpg,
3/31/2024,366111488,Baseball,179,Adam Eaton,Washington Nationals,2019,Topps,2019 Topps Gypsy Queen - Indigo,SN250,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-366111488-front.jpg,
8/12/2022,22151165,Baseball,33,Adam Moore,Seattle Mariners,2010,Topps,2010 Topps - Vintage Cardstock,RC,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-22151165-1660312474-front.jpg,
4/4/2024,369130918,Football,126b,Adam Thielen,Minnesota Vikings,2021,Donruss,2021 Donruss - Press Proof Red,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-369130918-front.jpg,
4/4/2024,369159902,Football,126b,Adam Thielen,Minnesota Vikings,2021,Donruss,2021 Donruss,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-369159902-front.jpg,
4/4/2024,369130840,Football,126b,Adam Thielen,Minnesota Vikings,2021,Donruss,2021 Donruss,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-369130840-front.jpg,
4/4/2024,369145139,Football,126b,Adam Thielen,Minnesota Vikings,2021,Donruss,2021 Donruss - Press Proof Yellow,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-369145139-front.jpg,
3/31/2024,366112413,Baseball,58,Addison Reed,Minnesota Twins,2019,Topps,2019 Topps Gypsy Queen,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-366112413-front.jpg,
4/4/2024,369094327,Baseball,49,Adrian Gonzalez,Los Angeles Dodgers,2013,Select,2013 Panini Select,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-369094327-front.jpg,
4/4/2024,369139488,Football,Jan-39,Adrian Peterson,Minnesota Vikings,2021,Donruss,2021 Donruss - Retro 2001,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-369139488-front.jpg,
8/12/2022,22090778,Football,93,Ahman Green,Green Bay Packers,2000,Topps,2000 Topps,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-22090778-1660279064-front.jpg,
1/27/2024,323542058,Football,20,AJ Dillon,Boston College Eagles,2020,Panini,2020 Panini Chronicles Draft Picks - Absolute Rookies Spectrum Red,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-323542058-front.jpg,
8/10/2022,21460710,Football,79,AJ Dillon,Boston College Eagles,2020,Panini,2020 Panini Chronicles Draft Picks - Crown Royale Draft Picks,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-21460710-1660091030-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-21460710-1660091030-back.jpg
8/10/2022,21468251,Football,20,AJ Dillon,Boston College Eagles,2020,Panini,2020 Panini Chronicles Draft Picks - Absolute Rookies Spectrum,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-21468251-1660092597-front.jpg,
1/25/2024,322478974,Football,365,AJ Dillon,Green Bay Packers,2020,Select,2020 Panini Select,RC,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-322478974-front.jpg,
8/7/2022,20868821,Football,RR-AD,AJ Dillon,Green Bay Packers,2020,Panini,2020 Panini Chronicles - Clearly Donruss Rated Rookies,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-20868821-1659912758-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20868821-1659912758-back.jpg
8/12/2022,22119848,Football,65,AJ Dillon,Green Bay Packers,2020,Select,2020 Panini Select,RC,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-22119848-1660291332-front.jpg,
8/7/2022,20886070,Football,65,AJ Dillon,Green Bay Packers,2020,Select,2020 Panini Select,RC,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-20886070-1659916486-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20886070-1659916486-back.jpg
3/30/2024,365874193,Baseball,216,Al Sima,Chicago White Sox,1994,Topps,1994 Topps Archives 1954 - Gold,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-365874193-front.jpg,
3/30/2024,365835446,Basketball,124,Al Thornton,Los Angeles Clippers,2007,,2007-08 Topps - Gold,"RC, SN2007",RAW,,,https://storage.googleapis.com/collx-user-cards/232360-365835446-front.jpg,
1/17/2024,316196502,Hockey,156,Alain Daigle,Chicago Blackhawks,1976,Topps,1976-77 Topps,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-316196502-front.jpg,
4/4/2024,369092598,Baseball,193,Albert Abreu,New York Yankees,2021,Panini,2021 Panini Prizm,RC,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-369092598-front.jpg,
1/27/2024,323666438,Baseball,28,Albert Belle,Chicago White Sox,1998,,1998 Ultra,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-323666438-front.jpg,
4/4/2024,369073881,Baseball,46,Albert Pujols,Los Angeles Angels,2016,Topps,2016 Topps Chrome - Prism Refractor,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-369073881-front.jpg,
4/4/2024,369093059,Baseball,214,Albert Pujols,Los Angeles Angels,2020,Panini,2020 Panini Prizm - Red-Orange Prizm,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-369093059-front.jpg,
3/31/2024,366089823,Baseball,TA14,Albert Pujols,Los Angeles Angels,2013,Prizm,2013 Panini Select - Thunder Alley Prizm,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-366089823-front.jpg,
1/27/2024,323729614,Baseball,T52-34,Albert Pujols,Los Angeles Angels,2021,Topps,2021 Topps - 1952 Topps Redux,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-323729614-front.jpg,
8/6/2022,20482665,Baseball,2,Alec Bohm,Philadelphia Phillies,2021,Bowman,2021 Bowman 5x7,SN49,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-20482665-1659807925-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20482665-1659807925-back.jpg
1/25/2024,322468688,Baseball,73,Alec Bohm,Philadelphia Phillies,2021,Topps,2021 Topps Fire,RC,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-322468688-front.jpg,
8/8/2022,20948524,Baseball,169,Alejandro Kirk,Toronto Blue Jays,2021,Panini,2021 Panini Prizm - Green Prizm,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-20948524-1659930269-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20948524-1659930269-back.jpg
1/27/2024,323936642,Baseball,169,Alejandro Kirk,Toronto Blue Jays,2021,Prizm,2021 Panini Prizm - Green Wave Prizm,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-323936642-front.jpg,
2/5/2024,330189240,Hockey,31,Aleksander Barkov,Florida Panthers,2019,,2019-20 SP Authentic - Limited Red,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-330189240-front.jpg,
8/8/2022,20929580,Hockey,79,Ales Kotalik,Edmonton Oilers,2009,,2009-10 O-Pee-Chee,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-20929580-1659925889-front.jpg,
1/25/2024,322498489,Baseball,70YTC-42,Alex Bregman,Houston Astros,2021,Topps,2021 Topps - 70 Years of Topps Baseball Chrome (Series 1),,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-322498489-front.jpg,
8/12/2022,22143605,Baseball,NG-4,Alex Bregman,Houston Astros,2020,Panini,2020 Panini Prizm - Numbers Game,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-22143605-1660309207-front.jpg,
1/27/2024,323708325,Baseball,86B-30,Alex Bregman,Houston Astros,2021,Topps,2021 Topps - 1986 Topps Baseball 35th Anniversary (Series 1),,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-323708325-front.jpg,
1/27/2024,323727680,Baseball,T52-11,Alex Bregman,Houston Astros,2021,Topps,2021 Topps - 1952 Topps Redux,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-323727680-front.jpg,
3/31/2024,366121403,Baseball,53,Alex Bregman,Houston Astros,2018,Panini,2018 Panini Diamond Kings,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-366121403-front.jpg,
3/31/2024,366120779,Baseball,53,Alex Bregman,Houston Astros,2018,Panini,2018 Panini Diamond Kings,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-366120779-front.jpg,
3/31/2024,366095457,Baseball,267,Alex Bregman,Houston Astros,2019,Topps,2019 Topps Gypsy Queen - GQ Logo Swap,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-366095457-front.jpg,
8/8/2022,20927007,Hockey,561,Alex Delvecchio,Detroit Red Wings,2009,,2009-10 O-Pee-Chee - Rainbow,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-20927007-1659925316-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20927007-1659925316-back.jpg
3/30/2024,365813491,Basketball,26,Alex English,Denver Nuggets,1989,,1989-90 Hoops Superstars,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-365813491-front.jpg,
1/27/2024,323955140,Baseball,BCP-80,Alex Kirilloff,Minnesota Twins,2020,Bowman,2020 Bowman - Chrome Prospects,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-323955140-front.jpg,
3/31/2024,366005822,Football,120,Alex Smith,Washington Football Team,2020,Prizm,2020 Panini Select - Blue Prizm Die Cut,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-366005822-front.jpg,
1/21/2024,319050416,Football,TC-AD,Alex Smith / Dwayne ,Kansas City Chiefs,2014,Panini,2014 Panini Spectra - Teammates Combo Jerseys Prizms Red Patch,"MEM, SN10",RAW,,,https://storage.googleapis.com/collx-user-cards/232360-319050416-front.jpg,https://storage.googleapis.com/collx-user-cards/232360-319050416-back.jpg
4/4/2024,369149729,Baseball,237b,Alex Verdugo,Boston Red Sox,2022,Donruss,2022 Donruss - Red,SN2022,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-369149729-front.jpg,
1/25/2024,322336298,Hockey,SL10,Alexander Ovechkin,Washington Capitals,2009,,2009-10 O-Pee-Chee - Stat-Leaders,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-322336298-front.jpg,https://storage.googleapis.com/collx-user-cards/232360-322336298-back.jpg
8/8/2022,20923220,Hockey,SL10,Alexander Ovechkin,Washington Capitals,2009,,2009-10 O-Pee-Chee - Stat-Leaders,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-20923220-1659924559-front.jpg,
8/22/2022,25000072,Football,100,Alfred Morris,Washington Redskins,2013,Panini,2013 Panini Prominence,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-25000072-1661139352-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-25000072-1661139352-back.jpg
3/30/2024,365809907,Basketball,126,Allan Houston,Detroit Pistons,1996,,1996-97 Metal,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-365809907-front.jpg,
1/17/2024,316088645,Basketball,270,Allen Iverson,Philadelphia 76ers,1996,,1996-97 Ultra,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-316088645-front.jpg,
8/6/2022,20435442,Basketball,270,Allen Iverson,Philadelphia 76ers,1996,,1996-97 Ultra,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-20435442-1659796472-front.jpg,
3/30/2024,365670745,Basketball,177,Alonzo Mourning,Charlotte Hornets,1993,Topps,1993-94 Topps,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-365670745-front.jpg,
3/30/2024,365824580,Basketball,23,Alonzo Mourning,Charlotte Hornets,1994,,1994-95 Ultra,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-365824580-front.jpg,
3/30/2024,365813357,Basketball,P44,Alonzo Mourning,Charlotte Hornets,1992,Upper Deck,1992-93 Upper Deck McDonald's,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-365813357-front.jpg,
3/30/2024,365637378,Basketball,295,Alonzo Mourning,Miami Heat,1996,,1996-97 Ultra,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-365637378-front.jpg,
4/4/2024,369079668,Football,84,Alvin Kamara,New Orleans Saints,2021,Panini,2021 Panini Certified,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-369079668-front.jpg,
4/4/2024,369066877,Football,6,Alvin Kamara,Tennessee Volunteers,2020,Panini,2020 Panini Prizm Draft Picks - Prizms Hyper,SN75,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-369066877-front.jpg,
4/4/2024,369145201,Football,94b,Alvin Kamara,New Orleans Saints,2021,Donruss,2021 Donruss,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-369145201-front.jpg,
1/27/2024,323648317,Football,35,Alvin Kamara,New Orleans Saints,2018,Panini,2018 Panini Contenders,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-323648317-front.jpg,
4/4/2024,369069602,Football,15,Alvin Kamara,Tennessee Volunteers,2020,Panini,2020 Panini Prizm Draft Picks,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-369069602-front.jpg,
8/12/2022,22094647,Football,66,Amani Toomer,New York Giants,2000,Topps,2000 Topps,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-22094647-1660280103-front.jpg,
8/12/2022,22134520,Football,59,Amari Cooper,Dallas Cowboys,2020,Panini,2020 Panini Mosaic,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-22134520-1660303306-front.jpg,
8/22/2022,25018236,Football,85,Amari Cooper,Dallas Cowboys,2019,Panini,2019 Panini Illusions,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-25018236-1661143675-front.jpg,
1/17/2024,316087195,Football,7,Amari Cooper,Dallas Cowboys,2021,Panini,2021 Panini Prestige - Xtra Points Diamond,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-316087195-front.jpg,
8/14/2022,22865377,Football,7,Amari Cooper,Alabama Crimson Tide,2020,Panini,2020 Panini Prizm Draft Picks,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-22865377-1660511170-front.jpg,
1/21/2024,319963661,Football,234,Amon-Ra St. Brown,Detroit Lions,2021,Panini,2021 Panini Prestige - Xtra Points Diamond,RC,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-319963661-front.jpg,
8/8/2022,20966161,Football,234,Amon-Ra St. Brown,Detroit Lions,2021,Panini,2021 Panini Prestige - Xtra Points Diamond,RC,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-20966161-1659934747-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20966161-1659934747-back.jpg
1/27/2024,323619057,Football,224,Amon-Ra St. Brown,USC Trojans,2021,Donruss,2021 Panini Chronicles Draft Picks - Donruss Optic Rated Rookies Holo,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-323619057-front.jpg,
1/17/2024,316078186,Football,131,Amon-Ra St. Brown,Detroit Lions,2021,Panini,2021 Panini Absolute - Retail,RC,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-316078186-front.jpg,
8/8/2022,20970477,Football,133,Amon-Ra St. Brown,USC Trojans,2021,Panini,2021 Panini Prizm Draft Picks Collegiate,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-20970477-1659936230-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20970477-1659936230-back.jpg
1/25/2024,322497724,Football,234,Amon-Ra St. Brown,Detroit Lions,2021,Panini,2021 Panini Chronicles - Prestige Rookies Update,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-322497724-front.jpg,
1/25/2024,322331251,Football,284,Amon-Ra St. Brown,Detroit Lions,2021,Donruss,2021 Donruss,RC,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-322331251-front.jpg,
8/12/2022,22119488,Football,284,Amon-Ra St. Brown,Detroit Lions,2021,Donruss,2021 Donruss,RC,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-22119488-1660291125-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22119488-1660291125-back.jpg
3/30/2024,365939035,Football,234,Amon-Ra St. Brown,Detroit Lions,2021,Panini,2021 Panini Prestige,RC,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-365939035-front.jpg,
8/8/2022,20961703,Football,124,Amon-Ra St. Brown,USC Trojans,2021,Panini,2021 Panini Chronicles Draft Picks,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-20961703-1659933509-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20961703-1659933509-back.jpg
4/4/2024,369094501,Baseball,163,Anderson Tejeda,Texas Rangers,2021,Panini,2021 Panini Select,RC,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-369094501-front.jpg,
1/25/2024,322466857,Baseball,93,Anderson Tejeda,Texas Rangers,2021,Topps,2021 Topps Fire,RC,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-322466857-front.jpg,
8/12/2022,22151342,Baseball,269,Andre Dawson,Chicago Cubs,1988,Donruss,1988 Donruss Chicago Cubs Team Collection,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-22151342-1660312540-front.jpg,
8/12/2022,22150637,Baseball,421,Andre Dawson,Montreal Expos,1985,Donruss,1985 Donruss,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-22150637-1660312271-front.jpg,
8/12/2022,22096025,Football,15,Andre Reed,Buffalo Bills,2000,Topps,2000 Topps,,RAW,,,https://storage.googleapis.com/collx-media/user_cards/232360-22096025-1660280533-front.jpg,
4/4/2024,369154068,Football,74,Andre Reed,Buffalo Bills,1997,,1997 Ultra,,RAW,,,https://storage.googleapis.com/collx-user-cards/232360-369154068-front.jpg,
